1982607933, 2, , <UNAVAIL>, ADR LLC, , , , , , , , , , , , , , , , PO BOX 808, , CUMBERLAND, MD, 215010808, US, 3017241646, 3017247429, 952 SETON DR, , CUMBERLAND, MD, 215021950, US, 3017773522, 3017771902, 05/23/2005, 08/16/2010, , , , , KIM, JONG, K, PRESIDENT, 3017241646, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DA5555, 01, , RAILROAD MEDICARE, 403741300, 05, MD, , 001586989, 01, WV, MT ST BS, 216A, 01, MD, MD BLUE SHIELD, 0201927000, 05, WV, , J249, 01, MD, MD BLUE SHIELD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1508864661, 2, , <UNAVAIL>, HEALING HANDS CHIROPRACTIC P C, , , , , , , , , , , , , , , , 10776 GRAYS CORNER, UNIT 8, BERLIN, MD, 218113561, US, 4106290610, 4106290712, 10776 GRAYS CORNER, UNIT 8, BERLIN, MD, 218113561, US, 4106290610, 4106290712, 07/12/2005, 11/14/2007, , , , , RUSH, TRACY, LYN, PRESIDENT, 4106290610, 111N00000X, 01994, MD, Y, 111N00000X, 02053, MD, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , D.C., 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , 
1760481568, 2, , <UNAVAIL>, CARLA B MACLEOD MD & ASSOCIATES PC, , , , , , , , , , , , , , , , PO BOX 630984, , BALTIMORE, MD, 212630984, US, , , 18207A FLOWER HILL WAY, , GAITHERSBURG, MD, 208795331, US, 3019264707, , 07/14/2005, 02/17/2010, , , , , MACLEOD, CARLA, BELTRAN, OWNER, 3049264707, 291U00000X, 21D0947364, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 731101000, 05, MD, , 4504, 01, DC, BCBS OF WASHINGTON DC, 220025431, 01, , RAILROAD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, , , , , , , , , , , , , , , , 
1285633818, 2, , <UNAVAIL>, FOUR CORNERS AMBULATORY SURGICAL CENTER LLC, , , , , , , , , , , , , , , , 10101 LORAIN AVE, , SILVER SPRING, MD, 209012458, US, 3016818400, 3016813339, 10101 LORAIN AVE, , SILVER SPRING, MD, 209012458, US, 3016818400, 3016813339, 07/15/2005, 10/07/2014, , , , , LIEBERMAN, GARY, A, MEDICAL DIRECTOR, 3016818400, 261QA1903X, A1093, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , D.P.M., , , , , , , , , , , , , , , , 
1356340053, 2, , <UNAVAIL>, BERNHARD ZUNKELER MD PA, , , , , , , , , , , , , , , , 224 WENDOVER RD, , BALTIMORE, MD, 212181837, US, 4108894076, , 6565 N CHARLES ST, SUITE 408, BALTIMORE, MD, 212045803, US, 4103378201, 4103378203, 07/15/2005, 04/20/2008, , , , , ZUNKELER, BERNHARD, , DOCTOR, 4103378201, 207T00000X, D0052426, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , OY20B, 01, MD, BCBS, 444100100, 05, MD, , 0600158, 01, MD, UNITED HEALTHCARE, E6910001, 01, MD, FEDERAL & BLUECHOICE BCBS, 5244650004, 01, MD, CIGNA, =========, 01, MD, PHCS, 112902, 01, MD, CONVENTRY PPO, 140006979, 01, MD, RAILROAD MEDICARE, 2351178, 01, MD, AETNA-HMO, 5129648, 01, MD, AETNA-PPO, 391881, 01, MD, MAMSI, 494347, 01, MD, NCPPO, 05398, 01, MD, PHN, 23124, 01, MD, EHPJHH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1528067220, 2, , <UNAVAIL>, TOWNSON SURGICAL CENTER, , , , , , , , , , , , , , , , PO BOX 75325, , BALTIMORE, MD, 212755325, US, 4103370022, 4103370196, 1122 KENILWORTH DR, STE 17, TOWSON, MD, 212042139, US, 4103370022, 4103370196, 07/15/2005, 07/08/2007, , , , , POSS, MARY, T, BUSINESS OFFICE MANAGER, 4103370022, 261QM1300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , , , , , , , , , , , , , , , , 
1952300436, 2, , <UNAVAIL>, MANUAL PT & SPORTS MEDICINE, , , , , , , , , , , , , , , , PO BOX 50105, , BALTIMORE, MD, 212114105, US, 4108898004, 4108898024, 3612 FALLS RD LOWR LEVEL, , BALTIMORE, MD, 212111814, US, 4108898004, 4108898024, 07/18/2005, 02/28/2008, , , , , ROVNAK, SUSAN, ELIZABETH, CEO, 4108898004, 225100000X, 16168, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , J353MA, 01, MD, CAREFIRST BC/BS MARYLAND, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , PHYSICAL THERAPIST, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1558360040, 2, , <UNAVAIL>, BANK PHARMACEUTICALS, , , , , , , D/B/A BRAD'S OLDTOWN ROAD PHARMACY, 3, , , , , , , , 1101 E OLDTOWN ROAD, , CUMBERLAND, MD, 21502, US, 3017296226, 3017294229, 1101 E OLDTOWN ROAD, , CUMBERLAND, MD, 21502, US, 3017296226, 3017294229, 07/18/2005, 08/10/2015, , , , , THOMAS, BRAD, , OWNER/CHIEF PHARMACIST, 3017296226, 333600000X, PO3132, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 402214900, 05, MD, , 402995000, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , P.D. RPH, , , , , , , , , , , , , , , , 
1447259866, 2, , <UNAVAIL>, ARTHRITIS AND RHEUMATISM ASSOCIATES PC, , , , , , , , , , , , , , , , 2730 UNIVERSITY BLVD W, SUITE 310, WHEATON, MD, 209021905, US, 3019427600, 3019423132, 2730 UNIVERSITY BLVD W, SUITE 310, WHEATON, MD, 209021905, US, 3019427600, 3019423132, 07/18/2005, 01/31/2018, , , , , BARAF, HERBERT, STUART  BLOCK, MANAGING PARTNER, 3019427600, 207RR0500X, D0021924, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7166, 01, DC, CAREFIRST OF DC, 0008316660, 01, , AETNA, 43004, 01, , ALLIANCE, 800177, 01, MD, PRIORITY PARTNERS, 968061600, 05, MD, , 1319121, 01, , UNITED HEALTHCARE, 43004, 01, , MAMSI, 29ZXAR, 01, MD, CAREFIRST OF MARYLAND, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1932108446, 2, , <UNAVAIL>, EDWARD T DOUGHERTY JR DDS PC, , , , , , , DELMARVA SEDATION DENTISTRY, 3, , , , , , , , 36872 JAHNIGEN DR, , FRANKFORD, DE, 199454590, US, 4103902220, 4102122955, 12308 OCEAN GTWY, SUITE #6, OCEAN CITY, MD, 218429341, US, 4103902220, 4102132955, 07/18/2005, 12/11/2015, , , , , DOUGHERTY, EDWARD, T, PRESIDENT, 4103902220, 1223D0001X, G401, MD, Y, 1223G0001X, G1-0001178X, DE, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., JR., DDS, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1407855703, 2, , <UNAVAIL>, MHC ORTHOTICS AND PROSTHETICS LLC, , , , , , , MHC PROSTHETICS LLC, 3, , , , , , , , PO BOX 621, , LEONARDTOWN, MD, 206500621, US, 3019970191, 3019970199, 41680 COURTHOUSE DRIVE, , LEONARDTOWN, MD, 206500621, US, 3019970191, 3019970199, 07/19/2005, 06/24/2008, , , , , PRICE, SHERYL, S, DIRECTOR OF REIMBURSEMENT, 5034938288, 332B00000X, , , N, 335E00000X, R942/11468, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, HANGER ORTHOPEDIC GROUP, <UNAVAIL>, , , , , , , , , , , , , , , , , , , 
1205835485, 2, , <UNAVAIL>, WASHINGTON CARDIOVASCULAR INSTITUTE LLC, , , , , , , , , , , , , , , , 7610 CARROLL AVE, SUITE 100, TAKOMA PARK, MD, 20912, US, 3018912500, 3018911704, 7610 CARROLL AVE, SUITE 100, TAKOMA PARK, MD, 20912, US, 3018912500, 3018911704, 07/19/2005, 09/15/2016, , , , , CHOUDRY, MUBASHAR, A., MEDICAL DIRECTOR, 3018912500, 173000000X, , , N, 207RC0000X, D42222, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M.D., 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1487654398, 2, , <UNAVAIL>, DEDICATED IMAGING OF BALTIMORE, , , , , , , , , , , , , , , , 1030 N. CHARLES ST., SUITE 100, BALTIMORE, MD, 212015402, US, 4106059393, 4106059397, 1030 N. CHARLES ST., SUITE 100, BALTIMORE, MD, 212015402, US, 4106059393, 4106059397, 07/21/2005, 12/15/2011, , , , , PEARSON, EDITH, DELORES, OFFICE MANAGER, 4106059393, 2085R0202X, , MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1366442089, 2, , <UNAVAIL>, ST. AGNES HOME CARE, , , , , , , , , , , , , , , , 1501 S EDGEWOOD ST, SUITE A, BALTIMORE, MD, 212271071, US, 4103682825, 4103688449, 1501 S EDGEWOOD ST, SUITE A, BALTIMORE, MD, 212271071, US, 4103682825, 4103688449, 07/22/2005, 02/22/2012, , , , , CLEMENS, BRIAN, , VP OF FINANCE, 7037528700, 251E00000X, HH7036R, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 046033800, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1053311878, 2, , <UNAVAIL>, MANOR CARE OF POTOMAC MD LLC, , , , , , , MANORCARE HEALTH SERVICES-POTOMAC, 3, , , , , , , , 333 N SUMMIT ST, , TOLEDO, OH, 436042615, US, 4192525500, 8773859446, 10714 POTOMAC TENNIS LN, , POTOMAC, MD, 208544418, US, 3012992273, 3012991631, 07/22/2005, 05/23/2017, , , , , ALLEN, MARTIN, D, DIRECTOR, 4192525734, 314000000X, 15219, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , HH5, 01, MD, CAREFIRST BLUE CROSS, 413522900, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1962402578, 2, , <UNAVAIL>, A SIVAN PILLAI MD PA, , , , , , , A SIVAN PILLAI MD, 3, , , , , , , , 915 SETON DR, , CUMBERLAND, MD, 215021817, US, 3017779626, 9017777152, 915 SETON DR, , CUMBERLAND, MD, 215021817, US, 3017779626, 9017777152, 07/26/2005, 07/08/2007, , , , , PILLAI, A, SIVAN, PRESIDENT, 3017779626, 208G00000X, D13233, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 42495, 01, PA, BLUECROSS/BLUESHIELD, 533040, 01, , MAMSI, 0129327000, 05, WV, , 0458147, 01, , UNITED MINE WORKERS, 6738AS, 01, MD, BLUECROSS/BLUESHIELD, 022507, 01, , TRAVELER'S MEDICARE, 1448650005, 01, , CIGNA, E528, 01, , CAPITALCARE, 220773, 01, , MDIPA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1215937834, 2, , <UNAVAIL>, MEDICAL SERVICES OF AMERICA INC, , , , , , , MEDI HOME CARE, 3, , , , , , , , PO BOX 1928, , LEXINGTON, SC, 290711928, US, 8039570500, 8883426190, 601 N HAMMONDS FERRY RD, STE B, LINTHICUM HEIGHTS, MD, 210901321, US, 4103562206, 4103561516, 07/26/2005, 11/14/2017, , , , , JEFFCOAT, CHRISTINA, M, VICE PRESIDENT, 8039570500, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 456808700, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1922008549, 2, , <UNAVAIL>, JOHNS HOPKINS UNIVERSITY, , , , , , , JHU -ANESTHESIA PAIN MGMT, 3, , , , , , , , PO BOX 64382, , BALTIMORE, MD, 212644382, US, , , 600 N WOLFE ST, , BALTIMORE, MD, 212870005, US, 4109335474, , 07/26/2005, 04/20/2008, , , , , AMORIELLO, PATRICIA, , DIRECTOR CPA AR, 4109336422, 207LP2900X, =========, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CA9045, 01, MD, RRMC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JOHNS HOPKINS UNIVERSITY, <UNAVAIL>, MRS., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1497755045, 2, , <UNAVAIL>, HERON POINT OF CHESTERTOWN INC., , , , , , , , , , , , , , , , P.O. BOX 90, 375 MORRIS ROAD, WEST POINT, PA, 194860090, US, 2156618330, 2156618316, 501 E. CAMPUS AVE., , CHESTERTOWN, MD, 216201682, US, 4107787300, 4107780053, 07/26/2005, 04/23/2012, , , , , CHRISTIANSEN, KAREN, I., ASSISTANT TREASURER, 2156618330, 314000000X, 14004, MD, N, 314000000X, 14-004, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 57964801, 01, MD, SNF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , C.M.A., , , , , , , , , , , , , , , , 
1881694453, 2, , <UNAVAIL>, JOHNS HOPKINS UNIVERSITY, , , , , , , JHU - ICU ASSOCIATES, 3, , , , , , , , PO BOX 64382, , BALTIMORE, MD, 212644382, US, , , 600 N WOLFE ST, , BALTIMORE, MD, 212870005, US, 4109335474, , 07/26/2005, 04/20/2008, , , , , AMORIELLO, PATRICIA, , DIRECTOR CPA AR, 4109336422, 207LC0200X, =========, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CA9045, 01, MD, RRMC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JOHNS HOPKINS UNIVERSITY, <UNAVAIL>, MRS., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1942200621, 2, , <UNAVAIL>, SMITH & PROTHERO PHYSICAL THERAPY LLC, , , , , , , , , , , , , , , , 807A S UNION AVE, , HAVRE DE GRACE, MD, 210783610, US, 4109392262, 4109397119, 807A S UNION AVE, , HAVRE DE GRACE, MD, 210783610, US, 4109392262, 4109397119, 07/26/2005, 09/23/2011, , , , , SMITH, WILLIAM, CHARLES, MEMBER, 4109392262, 2251X0800X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CB2775, 01, MD, RAILROAD MEDICARE, LS73SM, 01, MD, CAREFIRST BC/BS, 5874017-00, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , PT, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1396745634, 2, , <UNAVAIL>, CAROLINE COUNTY MENTAL HEALTH CLINIC, , , , , , , REGIONAL MIDSHORE MENTAL HEALTH SERVICES-CAROLINE COUNTY, 4, , , , , , , , 606 SUNNYSIDE AVE, P.O. BOX 10, DENTON, MD, 216291341, US, 4104793800, 4704790052, 606 SUNNYSIDE AVE, , DENTON, MD, 216291341, US, 4104793800, 4704790052, 07/28/2005, 07/08/2007, , , , , RAYNOR, TINA, M, FISCAL ACCOUNTS CLERK SUPERVISOR, 4104793800, 251K00000X, 6297, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , , , , , , , , , , , , , , , , 
1255331500, 2, , <UNAVAIL>, ON Q NURSING SERVICES L.L.C., , , , , , , , , , , , , , , , 139 N MAIN ST, SUITE 308, BEL AIR, MD, 210148843, US, 4108790005, 4104202266, 139 N MAIN ST, SUITE 308, BEL AIR, MD, 210148843, US, 4108790005, 4104202266, 07/28/2005, 07/09/2007, , , , , LOPEZ, QUERIDA, LYNNE, CEO/COO, 4108790005, 251J00000X, R2085, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , V512(P)P-762, 01, MD, DEPT. OF VETERANS AFFAIRS, 000583, 01, MD, HARFORD CTY OFF ON AGING, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MISS, , , , , , , , , , , , , , , , , , 
1700886140, 2, , <UNAVAIL>, HYATTSVILLE VOLUNTEER FIRE DEPT, , , , , , , , , , , , , , , , PO BOX 1350, , HUNTINGTOWN, MD, 206391350, US, 4104149207, 4104148396, 6200 BELCREST RD, , HYATTSVILLE, MD, 207822951, US, 3019275770, 3016998947, 07/28/2005, 07/08/2007, , , , , ALAR, LUKE, , PRESIDENT, 3019275770, 341600000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
